ear_left,ear_right,ear_avg,mar,pitch,yaw,roll,perclos,blink_rate,label
0.2104,0.1603,0.1853,0.0447,19.469,-26.8246,169.3335,1.0,0.0,2
0.0443,0.0362,0.0402,0.0755,-9.8825,-0.7172,0.8617,1.0,0.0,1
0.2487,0.2543,0.2515,0.408,-22.9664,-0.6971,0.2804,0.0,0.0,1
0.2649,0.2155,0.2402,0.0057,22.7987,10.6498,-174.3618,0.0,0.0,2
0.2657,0.3319,0.2988,0.0467,13.9516,14.8116,-145.2954,0.0,0.0,0
0.57,0.2573,0.4136,0.0263,0.6079,-43.0097,4.4306,0.0,0.0,2
0.2366,0.2591,0.2478,0.0009,-12.7156,11.2621,-8.0544,0.0,0.0,1
0.2288,0.2162,0.2225,0.0145,-23.054,-0.1454,-1.7454,0.0,0.0,1
0.2487,0.2436,0.2462,0.0056,14.461,-0.5106,-178.4397,0.0,0.0,1
0.1547,0.0841,0.1194,0.0042,21.9633,-14.9997,8.2422,1.0,0.0,2
0.0409,0.0406,0.0408,0.004,0.9122,1.8916,-3.2509,1.0,0.0,1
0.554,0.3908,0.4724,0.3016,-8.822,-59.4236,-165.8781,0.0,0.0,2
0.4603,0.4926,0.4764,0.0092,18.103,25.0027,-161.1859,0.0,0.0,0
0.3141,0.1997,0.2569,0.0291,4.4007,-13.9005,57.8217,0.0,0.0,2
0.2962,0.153,0.2246,0.5599,15.8125,-25.217,-177.2944,0.0,0.0,1
1.1436,0.2464,0.695,0.262,-1.3054,-48.5353,-2.0428,0.0,0.0,2
0.3153,0.3274,0.3214,0.0038,16.2131,1.7901,-175.302,0.0,0.0,0
0.2618,0.2871,0.2744,0.0324,15.1381,-21.1277,169.9473,0.0,0.0,2
0.7773,0.257,0.5172,0.3173,23.5158,-80.9549,144.7569,0.0,0.0,2
0.234,0.2239,0.229,0.009,-16.1932,1.0244,-0.4817,0.0,0.0,1
0.1478,0.158,0.1529,0.0087,-35.3307,2.6784,-4.2691,1.0,0.0,1
0.0773,0.0872,0.0823,0.0766,-26.3462,-4.5907,4.8517,1.0,0.0,1
0.2827,0.2649,0.2738,0.0012,-22.0824,-0.3542,2.303,0.0,0.0,0
0.3154,0.3144,0.3149,0.0028,15.3989,0.4263,-178.1794,0.0,0.0,0
0.3658,0.3738,0.3698,0.0187,-3.0868,-38.6946,-175.9626,0.0,0.0,2
